[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 796.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 2435.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 4620.0 :  
[2021-08-10 20:59:46,857] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1010.0 :  
[2021-08-10 20:59:46,873] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 11950.0 :  
[2021-08-10 20:59:46,873] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 29900.0 :  
[2021-08-10 20:59:46,873] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 3400.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 2815.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 2800.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 6410.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1290.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 15218.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 5910.0 :  
[2021-08-10 20:59:46,879] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3059864.129024058 / 1175.0 :  
[2021-08-10 20:59:49,432] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 5105.0 :  
[2021-08-10 20:59:49,432] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 1591.0 :  
[2021-08-10 20:59:49,432] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3600.0 :  
[2021-08-10 20:59:49,432] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 847.0 :  
[2021-08-10 20:59:49,432] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3770.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 2635.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3845.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 5450.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3250.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 4375.0 :  
[2021-08-10 20:59:49,448] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3880.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 4415.0 :  
